Timestamp,Score,,What is your prolific ID?,Do you consider yourself a good judge of character?,How many people do you encounter on an average day?,How would you describe yourself in a few words?, [Charisma], [Confidence], [Trustworthiness], [Friendliness], [Charisma], [Charisma], [Charisma], [Charisma], [Charisma], [Charisma], [Charisma],Rate your charisma, [Friendliness], [Friendliness], [Friendliness], [Friendliness], [Friendliness], [Friendliness], [Friendliness],Rate your friendliness?,, [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Confidence],Rate your confidence, [Trustworthiness], [Trustworthiness], [Trustworthiness], [Trustworthiness], [Trustworthiness], [Trustworthiness],Rate your trustworthiness
11/28/2021 22:52:17,,I have read and agree,5c4e2d07c401980001ab62d9,5,31-100,"Definitely a people, smart, fun and extroverted person",4- High,4- High,1- Very low,1- Very low,"3- Medium, 4- High",2-Low,2-Low,2-Low,3- Medium,3- Medium,5-Very high,4,4- High,2-Low,4- High,3- Medium,3- Medium,1- Very low,2-Low,5,Option 3,3- Medium,4- High,4- High,2-Low,5-Very high,4- High,4- High,1- Very low,5,2-Low,4- High,4- High,2-Low,2-Low,4- High,4
11/28/2021 22:52:54,,I have read and agree,608886445a92c991daa8f03f,5,0-10,"I'm defenitely an introvert, but definetely trusting. I don't like being around people I don't know",4- High,5-Very high,1- Very low,1- Very low,3- Medium,4- High,1- Very low,3- Medium,2-Low,3- Medium,4- High,4,4- High,2-Low,3- Medium,2-Low,4- High,2-Low,2-Low,3,Option 3,3- Medium,4- High,5-Very high,2-Low,3- Medium,4- High,5-Very high,2-Low,3,2-Low,1- Very low,4- High,2-Low,1- Very low,4- High,4
11/28/2021 22:53:14,,I have read and agree,5edde9874dbf2eb33593981a,1,0-10,"I am an honest person, extroverted, I love communication and art. I believe that most people in the world are naturally kind, and sometimes circumstances force them to do bad things.",4- High,5-Very high,2-Low,1- Very low,3- Medium,4- High,"2-Low, 3- Medium",5-Very high,2-Low,2-Low,5-Very high,4,4- High,5-Very high,3- Medium,1- Very low,3- Medium,2-Low,3- Medium,3,Option 3,2-Low,2-Low,4- High,4- High,3- Medium,4- High,5-Very high,4- High,1,3- Medium,4- High,4- High,2-Low,3- Medium,3- Medium,5
11/28/2021 22:53:17,,I have read and agree,613a22eef69b119845fc05bb,4,11-30,"I consider myself an introvert that had to adapt to an extrovert's world, I work in health care so I value deep connections between care-takers and patients and between teammates. I dislike small talk but I think of it as a tool to always deepen connection between people if the right path is taken, something like an RPG.",5-Very high,5-Very high,3- Medium,1- Very low,3- Medium,4- High,3- Medium,5-Very high,2-Low,3- Medium,4- High,3,3- Medium,2-Low,5-Very high,2-Low,5-Very high,2-Low,3- Medium,4,Option 3,4- High,3- Medium,2-Low,3- Medium,3- Medium,4- High,5-Very high,3- Medium,5,3- Medium,2-Low,5-Very high,2-Low,4- High,2-Low,4
11/28/2021 22:56:13,,I have read and agree,60a4cadc8c4109eeeb9fda14,5,11-30,"I am an introverted person, I consider that it is hard to gain my trust but also I think that I am good hearing what people say to me",5-Very high,4- High,2-Low,1- Very low,2-Low,3- Medium,3- Medium,5-Very high,3- Medium,4- High,4- High,4,4- High,2-Low,5-Very high,3- Medium,5-Very high,2-Low,3- Medium,3,Option 3,3- Medium,5-Very high,5-Very high,2-Low,4- High,5-Very high,2-Low,1- Very low,3,2-Low,3- Medium,1- Very low,2-Low,4- High,3- Medium,5
11/28/2021 22:58:30,,I have read and agree,5f68f02c41716709ee9be42d,4,0-10,Honest and responsable,4- High,1- Very low,1- Very low,1- Very low,2-Low,3- Medium,1- Very low,4- High,3- Medium,3- Medium,5-Very high,2,4- High,1- Very low,4- High,1- Very low,5-Very high,1- Very low,4- High,4,Option 3,2-Low,3- Medium,5-Very high,2-Low,2-Low,2-Low,4- High,2-Low,5,1- Very low,1- Very low,3- Medium,1- Very low,3- Medium,1- Very low,5
11/28/2021 23:06:09,,I have read and agree,6130073cffd0dc4b1b1bf1b7,4,0-10,"social, friendly, trustworthy extroverted",5-Very high,4- High,2-Low,1- Very low,3- Medium,4- High,4- High,4- High,3- Medium,5-Very high,4- High,5,4- High,4- High,4- High,4- High,5-Very high,3- Medium,4- High,5,Option 3,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,4,3- Medium,2-Low,3- Medium,2-Low,3- Medium,3- Medium,4
11/28/2021 23:14:58,,I have read and agree,5ee279601029933919b9acb8,5,11-30,"I like to meet people, but few of them I want to keep in touch with because I see negative qualities in them that I can't accept. I trust people only after long time. When I'm alone I would call myself an introvert, but when I'm somewhere with someone I know, it's a completely different situation.",4- High,5-Very high,2-Low,1- Very low,4- High,2-Low,4- High,4- High,3- Medium,5-Very high,4- High,4,5-Very high,3- Medium,5-Very high,2-Low,5-Very high,"1- Very low, 2-Low",4- High,4,Option 3,3- Medium,4- High,5-Very high,3- Medium,4- High,5-Very high,3- Medium,4- High,3,3- Medium,1- Very low,3- Medium,3- Medium,4- High,4- High,3
11/28/2021 23:16:19,,I have read and agree,60a524297c7709aab0a3ee48,4,31-100,"I consider myself a people person! At almost every moment of my day I find myself in groups, whether for leisure or work. I am usually a very outgoing person who makes anyone comfortable in a group setting. That said, I've never had anyone who didn't find me trustworthy.",4- High,3- Medium,"1- Very low, 2-Low",1- Very low,3- Medium,3- Medium,4- High,"4- High, 5-Very high",4- High,4- High,1- Very low,3,4- High,3- Medium,5-Very high,3- Medium,4- High,2-Low,3- Medium,5,Option 3,3- Medium,3- Medium,4- High,3- Medium,2-Low,2-Low,"2-Low, 3- Medium",3- Medium,4,"3- Medium, 4- High",3- Medium,5-Very high,3- Medium,4- High,3- Medium,4
11/28/2021 23:19:44,,I have read and agree,602e701fc970b706e28ed634,3,31-100,I'm definitely an introvert,"4- High, 5-Very high",4- High,2-Low,2-Low,2-Low,4- High,4- High,2-Low,3- Medium,4- High,4- High,4,4- High,3- Medium,4- High,4- High,4- High,2-Low,3- Medium,2,Option 3,4- High,4- High,3- Medium,4- High,4- High,4- High,4- High,2-Low,2,2-Low,2-Low,2-Low,2-Low,2-Low,3- Medium,4
